userName,user_link,commented_hotel
rodney,https://www.tripadvisor.com.tw/Profile/rodneyn982,"https://www.tripadvisor.com.tw/Hotel_Review-g293916-d15019979-Reviews-Hotel_Nikko_Bangkok-Bangkok.html, https://www.tripadvisor.com.tw/Hotel_Review-g293916-d14023690-Reviews-The_Quarter_Ari_by_UHG-Bangkok.html, https://www.tripadvisor.com.tw/Hotel_Review-g1570011-d6865239-Reviews-Le_Meridien_Suvarnabhumi_Bangkok_Golf_Resort_and_Spa-Samut_Prakan_Samut_Prakan_Provin.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d633449-Reviews-Taipei_Fullerton_Hotel_Maison_North-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d2415965-Reviews-City_Suites_Taipei_Nandong-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g14149941-d14121596-Reviews-Pinetree_Marina_Resort-Iskandar_Puteri_Johor_Bahru_District_Johor.html, https://www.tripadvisor.com.tw/Hotel_Review-g298283-d8523437-Reviews-The_St_Regis_Langkawi-Langkawi_Langkawi_District_Kedah.html, https://www.tripadvisor.com.tw/Hotel_Review-g298085-d7617524-Reviews-Naman_Retreat-Da_Nang.html, https://www.tripadvisor.com.tw/Hotel_Review-g308272-d1626894-Reviews-Jumeirah_Himalayas_Hotel_Shanghai-Shanghai.html"
Satoshi C,https://www.tripadvisor.com.tw/Profile/sat0shic,"https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d8398891-Reviews-Hotel_Proverbs_Taipei-Da_an_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806903-d10147208-Reviews-Lakeshore_Hotel_Suao-Su_ao_Yilan.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d1811672-Reviews-Evergreen_Resort_Hotel_Jiaosi-Jiaoxi_Yilan.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d7701935-Reviews-U_Hotel_Taipei_Nanjing_East_Road-Zhongshan_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g294197-d12188178-Reviews-Hotel_Inno_Stay-Seoul.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d633449-Reviews-Taipei_Fullerton_Hotel_Maison_North-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d4419222-Reviews-Chaiin_Hotel_Dongmen-Zhongzheng_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d3441876-Reviews-Stay_Inn-Zhongshan_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d11938870-Reviews-Goldinn_Hotel-Zhongshan_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d1569789-Reviews-HOTEL_QUOTE_Taipei-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d11824759-Reviews-Tango_Inn_Taipei_Ximen-Wanhua_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1797213-Reviews-Palais_de_Chine_Hotel-Datong_Taipei.html"
WWKwan,https://www.tripadvisor.com.tw/Profile/WWKwan,
Modesta R,https://www.tripadvisor.com.tw/Profile/modestar739,"https://www.tripadvisor.com.tw/Hotel_Review-g298251-d14057643-Reviews-Mercure_Almaty_City_Center-Almaty.html, https://www.tripadvisor.com.tw/Hotel_Review-g298656-d624445-Reviews-Divan_Ankara-Ankara.html, https://www.tripadvisor.com.tw/Hotel_Review-g293974-d1013095-Reviews-Gezi_Hotel_Bosphorus-Istanbul.html, https://www.tripadvisor.com.tw/Hotel_Review-g14133673-d310303-Reviews-Ibis_Tokyo_Shinjuku-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html, https://www.tripadvisor.com.tw/Hotel_Review-g580306-d498714-Reviews-Cabau_Aquasol-Palmanova_Calvia_Majorca_Balearic_Islands.html, https://www.tripadvisor.com.tw/Hotel_Review-g293974-d294607-Reviews-InterContinental_Istanbul-Istanbul.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d306398-Reviews-85_Sky_Tower_Hotel-Lingya_Kaohsiung.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d633449-Reviews-Taipei_Fullerton_Hotel_Maison_North-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d455561-Reviews-Cosmos_Hotel_Taipei-Zhongzheng_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g294197-d3154953-Reviews-Mercure_Seoul_Ambassador_Gangnam_Sodowe-Seoul.html, https://www.tripadvisor.com.tw/Hotel_Review-g1066456-d307381-Reviews-Shibuya_Excel_Hotel_Tokyu-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d306433-Reviews-Caesar_Park_Taipei-Zhongzheng_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806805-d306394-Reviews-Grand_Hi_Lai_Hotel_Kaohsiung-Qianjin_Kaohsiung.html, https://www.tripadvisor.com.tw/Hotel_Review-g844585-d1082654-Reviews-Hotel_Krosno_Nafta-Krosno_Subcarpathian_Province_Southern_Poland.html, https://www.tripadvisor.com.tw/Hotel_Review-g293736-d299657-Reviews-Hotel_Le_Diwan_Rabat_MGallery-Rabat_Rabat_Sale_Zemmour_Zaer_Region.html, https://www.tripadvisor.com.tw/Hotel_Review-g294003-d858419-Reviews-Ibis_Kuwait_Salmiya-Kuwait_City.html, https://www.tripadvisor.com.tw/Hotel_Review-g294005-d306322-Reviews-Le_Bristol_Beyrouth-Beirut.html, https://www.tripadvisor.com.tw/Hotel_Review-g293986-d10063924-Reviews-Amman_Rotana-Amman_Amman_Governorate.html, https://www.tripadvisor.com.tw/Hotel_Review-g188590-d197792-Reviews-ITC_Hotel-Amsterdam_North_Holland_Province.html"
住客2015,https://www.tripadvisor.com.tw/Profile/Wander807355,"https://www.tripadvisor.com.tw/Hotel_Review-g13806806-d11850457-Reviews-Hoya_Resort_Hotel_Kaohsiung-Qianzhen_Kaohsiung.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d2153372-Reviews-NK_Hostel-Songshan_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g293913-d13934178-Reviews-Meander_1948-Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806567-d2187258-Reviews-F_Hotel_Chiayi-Fanlu_Chiayi_County.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806608-d1944741-Reviews-Leofoo_Resort_Guanshi-Guanxi_Hsinchu_County.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d8400847-Reviews-F_Hotel_Chihpen-Taitung_City_Taitung.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808531-d1936002-Reviews-Xinjhuang_Chateau_de_Chine_Hotel-Xinzhuang_New_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808531-d1936002-Reviews-Xinjhuang_Chateau_de_Chine_Hotel-Xinzhuang_New_Taipei.html"
拉拉 陳,https://www.tripadvisor.com.tw/Profile/_X9816YC,
Icononow,https://www.tripadvisor.com.tw/Profile/Icononow,
PLkaka,https://www.tripadvisor.com.tw/Profile/PLkaka,"https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d6925013-Reviews-Star_Hostel_Taipei_Main_Station-Datong_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g1023467-d3675654-Reviews-Ryukyu_Onsen_Senagajima_Hotel-Tomigusuku_Okinawa_Prefecture.html, https://www.tripadvisor.com.tw/Hotel_Review-g1120809-d12685159-Reviews-The_Pool_Resort_Okinawa-Onna_son_Kunigami_gun_Okinawa_Prefecture.html, https://www.tripadvisor.com.tw/Hotel_Review-g608487-d7289453-Reviews-Anantara_Vacation_Club_Legian-Legian_Kuta_District_Bali.html, https://www.tripadvisor.com.tw/Hotel_Review-g187497-d258755-Reviews-HCC_Montblanc-Barcelona_Catalonia.html, https://www.tripadvisor.com.tw/Hotel_Review-g187443-d11777832-Reviews-The_Zentral_Arenal_Suites-Seville_Province_of_Seville_Andalucia.html"
PrincessCha,https://www.tripadvisor.com.tw/Profile/Princesschariza,
秋魚魚,https://www.tripadvisor.com.tw/Profile/TravellerCY45,
